Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,Roll Stdev,Pitch Stdev,Yaw Stdev,N Stdev,E Stdev,Alt Stdev,VN Stdev,VE Stdev,VD Stdev,
0.500000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.495256,-0.341344,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.547738,0.887923,60.000000,3.333333,3.333333,3.333333,0.333333,0.333333,0.333333,
2.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000001,0.000000,0.000000,45.000000,0.000019,0.063453,0.065802,0.000000,1.000000,0.000000,0.000000,-2.492636,-0.344549,0.015057,-0.012961,-0.081239,9.819498,-0.000000,-2.492636,-0.344549,-45.004162,0.012196,-0.016181,-0.025971,0.003577,-0.004849,-0.009784,-0.048585,0.050505,0.063434,-0.056489,0.068295,0.065802,1.548606,0.890041,59.999970,2.358919,2.358943,2.358908,0.305281,0.313036,0.301576,
2.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.063434,0.065802,1.000000,2.000000,0.000000,0.000000,-2.488790,-0.349184,0.015129,-0.012160,-0.081235,9.819496,-0.000000,-2.488790,-0.349184,-45.074207,0.006461,-0.054969,-0.083688,-0.625077,-0.081553,0.069930,-0.048494,0.043307,0.063434,-0.056489,0.068295,0.065802,1.549962,0.893341,59.999179,1.934125,1.934930,0.273215,0.302325,0.342429,0.280258,
3.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.063457,0.065802,1.000000,2.000000,0.000000,0.000000,-2.485050,-0.353842,0.015129,-0.012160,-0.081235,9.819496,-0.000000,-2.485050,-0.353842,-45.078233,0.010178,-0.061671,-0.080237,-0.620826,-0.110862,0.028875,-0.047696,0.043947,0.063457,-0.056489,0.068295,0.065802,1.551316,0.896628,59.999224,1.955694,1.962416,0.355817,0.343023,0.434948,0.286422,
3.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.064842,0.065802,2.000000,3.000000,1.000000,0.000000,-2.339458,-0.241955,0.014114,-0.010924,-0.081259,9.819500,0.000000,-2.339458,-0.241955,-44.816923,0.060661,-0.090182,-0.010511,-0.195023,0.089147,0.017510,-0.056919,0.056750,0.064842,-0.056489,0.068295,0.065802,1.264357,0.761191,59.980487,1.709772,1.720163,0.260315,0.350047,0.452035,0.221126,
4.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.068367,0.065802,2.000000,3.000000,4.000000,0.000000,-1.759548,0.279555,0.014114,-0.010925,-0.081259,9.819500,0.000000,-1.759548,0.279555,-44.821237,0.042258,-0.070261,-0.008009,-0.167707,0.047270,0.012612,-0.146302,0.156083,0.068367,-0.056489,0.068295,0.065802,0.892660,0.561490,59.980532,1.757620,1.793031,0.348986,0.404238,0.554420,0.229091,
4.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067679,0.065802,3.000000,4.000000,6.000000,0.000000,-1.887460,0.174270,0.013755,-0.028727,-0.081252,9.819503,0.000000,-1.887460,0.174270,-45.323929,0.043885,0.537532,-0.008669,0.990171,1.289409,0.044106,-0.124734,0.308745,0.067679,-0.056489,0.068295,0.065802,0.774245,0.494906,59.967390,1.588788,1.614436,0.251749,0.412270,0.503117,0.168094,
5.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.068571,0.065802,3.000000,4.000000,9.000000,0.000000,-1.692522,0.363515,0.013756,-0.028728,-0.081252,9.819503,0.000000,-1.692522,0.363515,-45.328144,0.005433,0.668371,-0.004272,1.002916,1.590902,0.040784,-0.157172,0.342151,0.068571,-0.056489,0.068295,0.065802,0.661493,0.428986,59.967435,1.669763,1.728822,0.321349,0.519707,0.594912,0.178462,
5.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.068067,0.065802,4.000000,5.000000,11.000000,0.000000,-1.781434,0.280153,0.013382,-0.020130,-0.081239,9.819508,0.000000,-1.781434,0.280153,-43.827251,-0.048300,0.463800,-0.005725,0.853722,1.006097,0.032427,-0.139219,0.242606,0.068067,-0.056489,0.068295,0.065802,0.610622,0.400826,56.393736,1.529349,1.560186,0.237805,0.486066,0.505471,0.141420,
6.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.068549,0.065802,4.000000,5.000000,14.000000,0.000000,-1.664937,0.396047,0.013382,-0.020132,-0.081239,9.819508,0.000000,-1.664937,0.396047,-43.830807,-0.094432,0.558139,-0.000661,0.818207,1.261685,0.031180,-0.159086,0.262579,0.068549,-0.056489,0.068295,0.065802,0.552270,0.366694,56.393784,1.645368,1.696941,0.294892,0.575399,0.582210,0.153644,
6.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.068094,0.065802,5.000000,6.000000,16.000000,0.000000,-1.732870,0.327068,0.011826,-0.012864,-0.081220,9.819507,0.000000,-1.732870,0.327068,-46.213395,-0.042588,0.337707,0.004271,0.634896,0.976289,0.050603,-0.132003,0.179662,0.068094,-0.056489,0.068295,0.065802,0.523329,0.351908,51.459406,1.502454,1.528961,0.227101,0.483483,0.484271,0.131361,
7.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.068421,0.065802,5.000000,6.000000,19.000000,0.000000,-1.648860,0.412953,0.011826,-0.012865,-0.081220,9.819507,0.000000,-1.648860,0.412953,-46.216125,-0.081011,0.401514,0.009635,0.604097,1.161156,0.054605,-0.146726,0.194072,0.068421,-0.056489,0.068295,0.065802,0.486754,0.330966,51.459458,1.635600,1.673502,0.278670,0.541989,0.544788,0.144506,
7.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067451,0.065802,6.000000,7.000000,21.000000,0.000000,-1.705703,0.352439,0.010835,-0.007399,-0.081143,9.819506,-0.000000,-1.705703,0.352439,-45.989703,-0.080031,0.164584,-0.024200,0.428158,0.446302,-0.040696,-0.126632,0.130723,0.067451,-0.056489,0.068295,0.065802,0.468126,0.322641,48.196044,1.489012,1.509511,0.221120,0.448209,0.456248,0.128505,
8.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067698,0.065802,6.000000,7.000000,24.000000,0.000000,-1.638936,0.422860,0.010835,-0.007400,-0.081143,9.819506,-0.000000,-1.638936,0.422860,-45.991391,-0.116101,0.203366,-0.018934,0.379199,0.538292,-0.050947,-0.138702,0.142181,0.067698,-0.056489,0.068295,0.065802,0.442808,0.308559,48.196100,1.625385,1.654607,0.270972,0.487484,0.505341,0.141962,
8.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067999,0.065802,7.000000,8.000000,26.000000,0.000000,-1.683617,0.368747,0.009308,-0.002791,-0.081190,9.819504,-0.000000,-1.683617,0.368747,-44.698482,-0.066647,-0.042413,0.009763,0.639307,-0.100397,-0.032860,-0.114456,0.089323,0.067999,-0.056489,0.068295,0.065802,0.430014,0.303886,46.622177,1.481154,1.496814,0.218610,0.410437,0.428658,0.127967,
9.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.068194,0.065802,7.000000,8.000000,29.000000,0.000000,-1.627862,0.430055,0.009308,-0.002793,-0.081189,9.819504,-0.000000,-1.627862,0.430055,-44.699110,-0.097103,-0.025385,0.015407,0.598444,-0.117401,-0.026103,-0.124962,0.098894,0.068194,-0.056489,0.068295,0.065802,0.411392,0.293822,46.622235,1.614789,1.639193,0.268230,0.441163,0.468951,0.141479,
9.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067302,0.065802,8.000000,9.000000,31.000000,0.000000,-1.669540,0.378794,0.004775,-0.001436,-0.081113,9.819502,-0.000000,-1.669540,0.378794,-51.683400,0.255625,-0.098175,-0.014134,1.638988,-0.521764,-0.105448,-0.071718,0.078450,0.067302,-0.056489,0.068295,0.065802,0.402284,0.291401,46.110031,1.475791,1.488085,0.217874,0.382693,0.402115,0.127839,
10.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.067465,0.065802,8.000000,9.000000,34.000000,0.000000,-1.620887,0.434484,0.004774,-0.001438,-0.081112,9.819502,-0.000000,-1.620887,0.434484,-51.683209,0.248147,-0.085582,-0.009390,1.765084,-0.567793,-0.110950,-0.081259,0.086803,0.067465,-0.056489,0.068295,0.065802,0.388014,0.283858,46.110089,1.605308,1.626072,0.267573,0.412651,0.435141,0.141328,
10.500000,-0.008137,0.014740,0.738759,0.022907,0.085396,-1.486562,1.552567,-0.371956,44.993332,-0.025857,0.129556,0.055623,9.000000,10.000000,36.000000,0.000000,-0.207437,0.034459,0.006270,-0.000929,-0.081081,9.819499,-0.000000,-1.751800,0.406199,-50.412182,0.154355,-0.178840,-0.019787,1.184000,-1.184195,-0.175315,-0.091075,0.058411,0.107927,-0.002960,0.019876,0.047828,0.381392,0.282898,46.023425,1.471820,1.481662,0.217730,0.365914,0.379219,0.127610,
11.000000,-0.049374,0.084020,1.481896,0.057281,0.230604,-1.484756,1.791243,-0.433551,44.988011,-0.060696,0.129632,0.051807,9.000000,10.000000,38.000000,0.000000,-0.035445,0.018859,0.006269,-0.000930,-0.081082,9.819497,-0.000000,-1.826109,0.452963,-50.418497,0.257340,-0.169579,-0.016370,1.286050,-1.271322,-0.184568,-0.099266,0.046719,0.112149,-0.021546,0.019102,0.048543,0.375587,0.282381,46.023483,1.600349,1.614822,0.267416,0.403976,0.410890,0.141023,
11.500000,-0.131282,0.219870,2.240648,0.095167,0.385114,-1.528549,1.814077,-0.445753,44.983993,-0.066098,0.110623,0.049262,10.000000,11.000000,38.000000,0.000000,-0.004338,0.003676,0.007217,-0.003457,-0.081178,9.819495,0.000000,-1.819321,0.450507,-44.756360,0.187215,0.018815,0.027603,1.033764,-0.846661,-0.039736,-0.108216,0.073028,0.111404,-0.018332,0.027885,0.048429,0.381108,0.292607,45.560774,1.468773,1.476460,0.217642,0.382866,0.365527,0.127312,
12.000000,-0.254031,0.423260,3.006091,0.132630,0.537479,-1.530790,1.811920,-0.443900,44.980034,-0.046004,0.130572,0.053079,10.000000,11.000000,38.000000,0.000000,-0.002621,0.000928,0.007217,-0.003457,-0.081178,9.819493,0.000000,-1.815610,0.446045,-44.760498,0.279266,0.044556,0.031674,1.150517,-0.830054,-0.024993,-0.108386,0.073110,0.111004,-0.022977,0.025447,0.049309,0.386577,0.302494,45.560833,1.601930,1.605326,0.267224,0.449574,0.396984,0.140712,
12.500000,-0.417254,0.693513,3.776670,0.169534,0.688573,-1.545190,1.807714,-0.439169,44.976475,-0.056005,0.108461,0.055623,11.000000,12.000000,38.000000,0.000000,-0.002851,0.001885,0.007581,-0.004350,-0.081202,9.819491,0.000000,-1.811558,0.442104,-39.462148,0.160867,0.119720,0.045709,0.702745,-0.432431,0.032396,-0.110614,0.083803,0.110319,-0.021317,0.024875,0.048121,0.391942,0.312066,42.941745,1.467337,1.471867,0.217520,0.425548,0.353766,0.127090,
13.000000,-0.620558,1.029697,4.550706,0.205574,0.837503,-1.548925,1.803969,-0.434244,44.972900,-0.064849,0.110853,0.050534,11.000000,12.000000,38.000000,0.000000,-0.002927,0.002114,0.007581,-0.004350,-0.081202,9.819488,0.000000,-1.807861,0.437434,-39.466509,0.234051,0.150543,0.050063,0.801541,-0.364088,0.056248,-0.110661,0.082689,0.114621,-0.021491,0.025411,0.047670,0.397261,0.321355,42.941807,1.605772,1.596804,0.266994,0.499942,0.380867,0.140472,
13.500000,-0.863380,1.430581,5.316418,0.240629,0.983902,-1.526214,1.803966,-0.429838,44.969540,-0.061348,0.113419,0.055623,12.000000,13.000000,38.000000,0.000000,-0.002956,0.001848,0.008290,-0.002223,-0.081139,9.819486,-0.000000,-1.807827,0.432794,-43.123189,0.383505,0.019635,0.028402,1.022786,-0.647265,0.003412,-0.116057,0.063316,0.110184,-0.017488,0.028248,0.049771,0.402466,0.330383,38.623309,1.466861,1.467640,0.217394,0.444900,0.340968,0.126934,
14.000000,-1.145525,1.895508,6.081382,0.275103,1.129362,-1.531278,1.800068,-0.425827,44.965863,-0.043674,0.117408,0.054351,12.000000,13.000000,38.000000,0.000000,-0.002956,0.001199,0.008290,-0.002223,-0.081139,9.819483,-0.000000,-1.803975,0.428110,-43.127394,0.461947,0.040382,0.032550,1.234260,-0.631558,0.018559,-0.114417,0.064358,0.108096,-0.016893,0.025337,0.048295,0.407649,0.339171,38.623379,1.607307,1.588844,0.266781,0.505315,0.366376,0.140292,
14.500000,-1.466815,2.423914,6.862982,0.308971,1.273535,-1.573708,1.793034,-0.420389,44.962707,-0.029299,0.119010,0.055623,13.000000,14.000000,38.000000,0.000000,-0.002515,0.001846,0.005961,-0.004296,-0.081221,9.819481,0.000000,-1.796664,0.423341,-26.701096,-0.036980,0.059598,0.073592,1.214440,0.171668,0.134448,-0.091336,0.085396,0.107350,-0.021375,0.029155,0.048756,0.412698,0.347737,34.348216,1.467060,1.463375,0.217285,0.443863,0.326662,0.126822,
